"filename", "language", "HTML", "Dart", "JSON", "C++", "Markdown", "YAML", "Swift", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"d:\tot\projects\POS_app\lib\core\constants\strings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\tot\projects\POS_app\lib\core\enums\orders_status.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\tot\projects\POS_app\lib\core\enums\payment_method_type.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"d:\tot\projects\POS_app\lib\core\extensions\bag_item_extension.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 60
"d:\tot\projects\POS_app\lib\core\extensions\is_valid_email_extension.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\tot\projects\POS_app\lib\core\extensions\translate.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\tot\projects\POS_app\lib\core\generated\l10n\langs\app_localizations.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 351, 89, 560
"d:\tot\projects\POS_app\lib\core\generated\l10n\langs\app_localizations_ar.dart", "Dart", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74, 223
"d:\tot\projects\POS_app\lib\core\generated\l10n\langs\app_localizations_en.dart", "Dart", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74, 223
"d:\tot\projects\POS_app\lib\core\network\api_consumer.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 44
"d:\tot\projects\POS_app\lib\core\network\dio_consumer.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 154
"d:\tot\projects\POS_app\lib\core\network\dio_exceptions_handler.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\tot\projects\POS_app\lib\core\network\end_points.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 44
"d:\tot\projects\POS_app\lib\core\network\failure.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"d:\tot\projects\POS_app\lib\core\network\graph_config.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 104
"d:\tot\projects\POS_app\lib\core\network\network_interceptor.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"d:\tot\projects\POS_app\lib\core\routes\go_routes.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"d:\tot\projects\POS_app\lib\core\routes\routes.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 38
"d:\tot\projects\POS_app\lib\core\theme\palette.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 49
"d:\tot\projects\POS_app\lib\core\theme\themes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\tot\projects\POS_app\lib\core\types\types.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 25
"d:\tot\projects\POS_app\lib\core\usecase\usecase.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\tot\projects\POS_app\lib\core\utils\display_snackbar.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\tot\projects\POS_app\lib\core\utils\json_decoder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 12
"d:\tot\projects\POS_app\lib\core\utils\show_custom_keyboard.dart", "Dart", 0, 2118, 0, 0, 0, 0, 0, 0, 0, 0, 85, 29, 2232
"d:\tot\projects\POS_app\lib\data\auth\data_sources\local_data_source.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 84
"d:\tot\projects\POS_app\lib\data\auth\data_sources\remote_data_source.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 90
"d:\tot\projects\POS_app\lib\data\auth\model\user_data_response_model.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"d:\tot\projects\POS_app\lib\data\auth\model\user_data_response_model.freezed.dart", "Dart", 0, 995, 0, 0, 0, 0, 0, 0, 0, 0, 49, 125, 1169
"d:\tot\projects\POS_app\lib\data\auth\model\user_data_response_model.g.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 102
"d:\tot\projects\POS_app\lib\data\auth\repo\auth_repo_impl.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 96
"d:\tot\projects\POS_app\lib\data\auth\responses\token_responses.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\tot\projects\POS_app\lib\data\bag\data_sources\local_data_source.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\tot\projects\POS_app\lib\data\bag\repo\bag_repo_impl.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"d:\tot\projects\POS_app\lib\data\cart\data_sources.dart\local_data_source.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"d:\tot\projects\POS_app\lib\data\cart\data_sources.dart\remote_data_source.dart", "Dart", 0, 1180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 1209
"d:\tot\projects\POS_app\lib\data\cart\models\graph_add_item_model.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"d:\tot\projects\POS_app\lib\data\cart\models\graph_add_item_model.freezed.dart", "Dart", 0, 653, 0, 0, 0, 0, 0, 0, 0, 0, 32, 76, 761
"d:\tot\projects\POS_app\lib\data\cart\models\graph_add_item_model.g.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 69
"d:\tot\projects\POS_app\lib\data\cart\models\graph_change_item_quantity.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\tot\projects\POS_app\lib\data\cart\models\graph_change_item_quantity.freezed.dart", "Dart", 0, 694, 0, 0, 0, 0, 0, 0, 0, 0, 25, 70, 789
"d:\tot\projects\POS_app\lib\data\cart\models\graph_change_item_quantity.g.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 83
"d:\tot\projects\POS_app\lib\data\cart\models\graph_create_cart_model.dart", "Dart", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 247
"d:\tot\projects\POS_app\lib\data\cart\models\graph_create_cart_model.freezed.dart", "Dart", 0, 4069, 0, 0, 0, 0, 0, 0, 0, 0, 129, 354, 4552
"d:\tot\projects\POS_app\lib\data\cart\models\graph_create_cart_model.g.dart", "Dart", 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31, 428
"d:\tot\projects\POS_app\lib\data\cart\models\graph_remove_item_model.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"d:\tot\projects\POS_app\lib\data\cart\models\graph_remove_item_model.freezed.dart", "Dart", 0, 445, 0, 0, 0, 0, 0, 0, 0, 0, 32, 76, 553
"d:\tot\projects\POS_app\lib\data\cart\models\graph_remove_item_model.g.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 56
"d:\tot\projects\POS_app\lib\data\cart\repo\cart_repo_impl.dart", "Dart", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 228
"d:\tot\projects\POS_app\lib\data\categories\models\graph_category_model.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"d:\tot\projects\POS_app\lib\data\categories\models\graph_category_model.freezed.dart", "Dart", 0, 543, 0, 0, 0, 0, 0, 0, 0, 0, 34, 73, 650
"d:\tot\projects\POS_app\lib\data\categories\models\graph_category_model.g.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 69
"d:\tot\projects\POS_app\lib\data\categories\repo\category_repo.impl.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"d:\tot\projects\POS_app\lib\data\customers\data_sources\remote_data_source.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 151
"d:\tot\projects\POS_app\lib\data\customers\repo\customers_repo_impl.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"d:\tot\projects\POS_app\lib\data\customers\requests\add_new_customer_request\tot_add_new_customer_model_request.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"d:\tot\projects\POS_app\lib\data\customers\requests\add_new_customer_request\tot_add_new_customer_model_request.freezed.dart", "Dart", 0, 1311, 0, 0, 0, 0, 0, 0, 0, 0, 35, 71, 1417
"d:\tot\projects\POS_app\lib\data\customers\requests\add_new_customer_request\tot_add_new_customer_model_request.g.dart", "Dart", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 139
"d:\tot\projects\POS_app\lib\data\customers\requests\customer_search_request\customers_search_model.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\tot\projects\POS_app\lib\data\customers\requests\customer_search_request\customers_search_model.freezed.dart", "Dart", 0, 504, 0, 0, 0, 0, 0, 0, 0, 0, 20, 31, 555
"d:\tot\projects\POS_app\lib\data\customers\requests\customer_search_request\customers_search_model.g.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 61
"d:\tot\projects\POS_app\lib\data\customers\responses\add_new_customer\tot_add_new_customer_model.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 156
"d:\tot\projects\POS_app\lib\data\customers\responses\add_new_customer\tot_add_new_customer_model.freezed.dart", "Dart", 0, 2636, 0, 0, 0, 0, 0, 0, 0, 0, 72, 161, 2869
